EAN propio;EAN 1;EAN 2;Codigo;Descripción;UM;Stock N;Stock SM;Stock Total;Stock correcto a fecha;Exposición
2400000000013;0;0;1;PORTAESTANTE C/ESPIGA TALADRO REF.95 LPU 5/32*17;UN;1113;59;1172;2020-03-05 00:00:00;No
2400000000105;8423640210110;0;10;PLATO DE GOMA PT-180 M14 REF.111780014;UN;1;0;1;2018-02-12 00:00:00;Sí
2400000010005;0;8413491651132;1000;#TIJERA 6511-32 CM. ALTUNA CHAPA;UN;1;0;1;2026-01-15 00:00:00;Sí
2400001000029;8411922435153;0;100002;IBILI 741100 ACEITERA 2 USOS SPRAY Y VERTEDOR;UN;7;2;9;2023-01-28 00:00:00;Sí
2400001000036;8411922093773;0;100003;IBILI 751900 MINI CESTILLO RECTANGULAR;UN;3;1;4;2024-09-27 00:00:00;No
2400001000067;8411922083729;0;100006;IBILI 405823 SARTEN CREPES 23 CMS;UN;4;2;6;2022-12-13 00:00:00;Sí
2400001000074;8411922078695;0;100007;IBILI 405826 SARTEN CREPES 26 CMS;UN;7;2;9;2021-05-22 00:00:00;Sí
2400001000081;8411922435252;0;100008;IBILI 741508 FILTRO PARA TE INOX;UN;3;2;5;2022-07-26 00:00:00;Sí
2400001000098;8411922093674;0;100009;IBILI 795650 ACEITERA PROBETA CUADRADA 0,5 LT;UN;17;1;18;2022-12-02 00:00:00;Sí
2400000100010;8411922080308;0;10001;IBILI 777702 MALLA ELASTICA P/CARNE 2 METROS;UN;5;2;7;2024-12-12 00:00:00;Sí
2400001000104;8411922209259;0;100010;IBILI 756600 RALLADOR 4 CARAS ;UN;9;4;13;2020-12-17 00:00:00;Sí
2400001000135;8411922080865;0;100013;IBILI 620007 TETERA HIERRO FUNDIDO NEGRA 0,72 LT;UN;1;1;2;2024-12-24 00:00:00;Sí
2400001000142;8411922090611;0;100014;IBILI 753903 TERMO PARA SOLIDOS MINI 0,40 LT;UN;5;0;5;2025-06-27 00:00:00;No
2400001000159;8411922093834;0;100015;IBILI 753904 TERMO PARA SOLIDOS MINI 0,50 LT;UN;2;1;3;2025-06-27 00:00:00;Sí
2400001000166;8411922068771;0;100016;IBILI 665310 CAZO BOMBADO CON PICO 0,40 LT;UN;2;2;4;2016-10-11 00:00:00;No
2400001000173;8411922068788;0;100017;IBILI 665312 CAZO BOMBADO CON PICO 0,60 LT;UN;2;0;2;2025-04-29 00:00:00;No
2400001000180;8411922068795;0;100018;IBILI 665314 CAZO BOMBADO CON PICO 1 LT;UN;0;1;1;2026-03-12 00:00:00;No
2400001000197;8411922087925;0;100019;IBILI 734300 COLADOR MALLA PLASTICA 8 CMS;UN;3;4;7;2022-07-27 00:00:00;Sí
2400000100027;8411922087031;0;10002;IBILI 481110 JARRA MEDIDORA 1 LT;UN;3;3;6;2025-02-14 00:00:00;Sí
2400001000203;8411922090468;0;100020;IBILI 734310 COLADOR MALLA PLASTICA 10 CMS;UN;1;6;7;2023-10-06 00:00:00;Sí
2400001000210;8411922090475;0;100021;IBILI 734314 COLADOR MALLA PLASTICA 14 CMS;UN;3;8;11;2025-04-29 00:00:00;Sí
2400001000241;8421504973607;0;100024;#ALYCO REF.197360 FLEXOMETRO CINTA METALICA 30 MT;UN;3;0;3;2023-11-20 00:00:00;Sí
2400001000258;8421504973409;0;100025;#ALYCO REF.197340 FLEXOMETRO CINTA FIBRA VIDRIO 50 MT;UN;0;0;0;2026-04-13 00:00:00;Sí
2400001000296;8421504934677;0;100029;ALYCO REF.193467 JUEGO 30 EN 1 DESTORNILLADORES PRECISION;UN;1;0;1;2023-05-18 00:00:00;Sí
2400001000302;0;0;100030;PUC 10-00 RACOR INSTANTANEO SANG-A;UN;5;0;5;2021-06-24 00:00:00;No
2400001000357;8411801204535;0;100035;TATAY 6590400 CESTILLO OVAL VENTOSA 300*90*100;UN;4;1;5;2023-07-22 00:00:00;Sí
2400001000364;8411801204559;0;100036;TATAY 6590600 CESTILLO RINC. VENTOSA 190*190*100;UN;1;0;1;2023-06-26 00:00:00;Sí
2400001000371;8411801606506;0;100037;TATAY 6606500 CESTILLO OVALADO KROM 30*11*13;UN;5;0;5;2017-12-19 00:00:00;Sí
2400001000395;8411801407011;8411801223574;100039;TATAY 4407501 ASIENTO WC BCN BLANCO;UN;2;2;4;2025-04-04 00:00:00;No
2400000100041;0;0;10004;TUERCA INOX.A2 DIN-1587 CIEGA M-03;UN;68;0;68;2025-10-10 00:00:00;No
2400001000401;0;0;100040;MANGUERA IBERFLEX DIAM.13 ROLLO 30 MT;MT;55;0;55;2025-06-07 00:00:00;No
2400001000418;0;0;100041;MANGUERA BOSPHORUS DIAM.20 ROLLO 50 MT;MT;-11;0;-11;2021-03-15 00:00:00;No
2400001000432;0;0;100043;MANGUERA IBERFLEX DIAM.45 ROLLO 30 MT;MT;6;0;6;2023-02-17 00:00:00;No
2400001000449;0;0;100044;MANGUERA IBERFLEX DIAM.50 ;MT;70;0;70;2024-08-21 00:00:00;No
2400001000456;0;0;100045;MANGUERA IBERFLEX DIAM.55 ROLLO 30 MT;MT;68;0;68;2016-10-24 00:00:00;No
2400001000463;5035048374474;0;100046;STA31034-XJ 5 HOJAS DE LIJA GRANO 40;UN;0;2;2;2020-11-26 00:00:00;Sí
2400000100058;0;0;10005;TORNILLO DIN-933 8.8 PAVONADO M-14*025;UN;94;0;94;2025-10-10 00:00:00;No
2400000010029;8413491682051;0;1002;TIJERA 6820-25 CM. ALTUNA CHAPA CORTE IZQUIERDA;UN;1;0;1;2025-11-13 00:00:00;Sí
2400000100201;8412172287639;0;10020;FER 28763 ARANDELA PL.ANCHA ZINCADA M08;CJ;12;16;28;2023-08-28 00:00:00;No
2400001002221;887930636055;0;100222;PILA KODAK 30636057/B ALCALINA ULTRA 23A 12V 1U;BL;36;3;39;2024-01-12 00:00:00;Sí
2400001002252;5000394203969;8425160205973;100225;PILA ALCALINA DURACELL MN21 3LR50 12 V 2 UN;BL;6;0;6;2025-05-19 00:00:00;Sí
2400001002276;5000394023352;8425160206888;100227;PILA ALCALINA DURACELL MN27 12 V 1 UN;BL;8;0;8;2023-10-05 00:00:00;Sí
2400001002290;5000394020306;8425160207557;100229;20755 PILA LITIO DURACELL HIGH POWER M3-CR2 3 V 1 UN;BL;9;0;9;2023-10-21 00:00:00;Sí
2400001002320;8413788034402;0;100232;03440 RODILLO HILO VERDE TERMOFUSION 180*50 MM;UN;1;0;1;2016-10-21 00:00:00;No
2400001002337;8413788034419;0;100233;#03441 RODILLO HILO VERDE TERMOFUSION 220*50 MM;UN;0;0;0;2025-08-01 00:00:00;No
2400001002351;8413788034969;0;100235;03496 RODILLO HILO AMARILLO PROFESIONAL 22/60 COMPLETO;UN;3;0;3;2016-10-21 00:00:00;Sí
2400001002368;8413788069121;0;100236;06912 CUBRE TODO FINO 4*5 MT 6 MICRAS;UN;45;0;45;2023-07-17 00:00:00;No
2400001002399;8413491009278;8413491009261;100239;ASPIRADOR CENIZAS 1200 W 20 LT DI1200INOX;UN;1;2;3;2026-01-13 00:00:00;No
2400001002511;8423752204984;8423752205059;100251;H111805 GUANTE NYLON NITRILO ECO-NIT FOAM NEGRO T-7;UN;-3;15;12;2023-02-28 00:00:00;Sí
2400001002528;8423752204991;8423752205066;100252;H111805 GUANTE NYLON NITRILO ECO-NIT FOAM NEGRO T-8;UN;0;6;6;2026-04-21 00:00:00;Sí
2400001002535;8423752205004;8423752205073;100253;H111805 GUANTE NYLON NITRILO ECO-NIT FOAM NEGRO T-9;UN;4;9;13;2025-05-23 00:00:00;Sí
2400001002542;8423752205035;8423752205080;100254;H111805 GUANTE NYLON NITRILO ECO-NIT FOAM NEGRO T-10;UN;0;5;5;2026-04-21 00:00:00;Sí
2400000100263;8426375111134;0;10026;K200G SETO ARTIFICIAL BICOLOR MATE 4 MM 2*3 MT;UN;2;0;2;2026-04-09 00:00:00;Sí
2400001002740;8410436272513;0;100274;2646189 SUPER GLUE-3 CREATIVE PEN 4 GR;UN;13;0;13;2022-09-13 00:00:00;Sí
2400001002849;8424084006048;0;100284;231327 Fuegonet cordon negro Ø12 y cola refractaria 50 ml;UN;2;0;2;2023-05-29 00:00:00;Sí
2400001002993;4030635026409;0;100299;3140020 AFILADORA BROCAS GQD13 80 W;UN;3;0;3;2022-05-31 00:00:00;No
2400001003006;3253560306571;0;100300;#0-30-657 FLEXOMETRO TYLON 8 MT*25 MM;UN;1;0;1;2025-04-25 00:00:00;Sí
2400001003013;3253560342975;0;100301;0-34-297 CINTA LARGA FIBRA DE VIDRIO 30 MT;UN;2;0;2;2022-02-14 00:00:00;Sí
2400001003020;3253562347954;0;100302;2-34-795 CINTA LARGA FIBRA DE VIDRIO 60 MT;UN;2;0;2;2023-02-14 00:00:00;Sí
2400001003037;3253561456855;0;100303;1-45-685 ESCUADRA CARPINTERO 140*250 MM;UN;2;1;3;2023-02-25 00:00:00;Sí
2400001003044;3253561456862;0;100304;1-45-686 ESCUADRA CARPINTERO 200*300 MM;UN;3;0;3;2022-02-14 00:00:00;Sí
2400001003051;3253561456879;0;100305;1-45-687 ESCUADRA CARPINTERO 200*400 MM;UN;3;0;3;2024-10-28 00:00:00;Sí
2400001003068;3253560468255;0;100306;0-46-825 FALSA ESCUADRA 200 MM;UN;5;0;5;2021-03-15 00:00:00;Sí
2400001003075;3253560102425;0;100307;0-10-242 CUCHILLO DE SEGURIDAD FATMAX;UN;0;0;0;2021-11-03 00:00:00;Sí
2400001003082;3253562145666;0;100308;2-14-566 TIJERA CORTA- CHAPAS CORTE LARGO FARMAX;UN;2;0;2;2024-10-04 00:00:00;Sí
2400001003099;3253566050454;0;100309;6-TR45 GRAPADORA PARA GRAPA TIPO A;UN;0;1;1;2020-12-09 00:00:00;Sí
2400001003136;3253560058951;0;100313;STHT0-05895 ESPATULA AMERICANA 200 MM;UN;5;0;5;2019-09-29 00:00:00;Sí
2400001003143;3253560057763;0;100314;STHT0-05776 ESPATULA AMERICANA 300 MM;UN;4;0;4;2025-01-31 00:00:00;Sí
2400001003167;3253561723353;0;100316;STST1-72335 MOCHILA ;UN;3;0;3;2024-04-20 00:00:00;Sí
2400001003174;3253561961830;0;100317;1-96-183 BOLSA PORTA HERRAMIENTA TAPA PLANA;UN;9;0;9;2023-11-11 00:00:00;Sí
2400001003181;3253561736155;0;100318;STST1-73615 MALETA DE NYLON CERRADA;UN;3;0;3;2023-09-11 00:00:00;Sí
2400001003204;3253560338565;3253561338564;100320;#FMHT1-33856 MINI FLEXOMETRO FATMAX 2 MT CON LLAVERO;UN;10;1;11;2025-01-31 00:00:00;Sí
2400001003211;3253560832445;0;100321;FMHT0-83244 SARGENTO DE TORNILLO FATMAX 200 MM;UN;1;0;1;2016-10-26 00:00:00;Sí
2400001003228;3253560832452;0;100322;FMHT0-83245 SARGENTO DE TORNILLO FATMAX 400 MM;UN;3;0;3;2022-02-14 00:00:00;Sí
2400001003266;3253560832001;0;100326;STHT0-83200 PINZA DE AJUSTE RAPIDO 100 MM;UN;2;0;2;2025-01-31 00:00:00;Sí
2400001003273;3253560058647;0;100327;STHT0-05864 ESPATULA 150 MM;UN;6;0;6;2025-02-17 00:00:00;Sí
2400001003303;3165140492393;0;100330;BOSCH 2608661636 ACCESORIO ACZ 85 EB MADERA Y METAL;UN;0;1;1;2026-03-10 00:00:00;Sí
2400001003310;3165140492478;0;100331;# BOSCH 2608661644 ACCESORIO AIZ 32 APB MADERA Y METAL;UN;0;0;0;2024-10-29 00:00:00;Sí
2400001003327;3165140492485;4059952629278;100332;BOSCH 2608661645 HOJA SIERRA MADERA AIZ 32 BSPIB 40*32;UN;0;0;0;2024-11-22 00:00:00;Sí
2400001003334;3165140545525;0;100333;BOSCH 2608661688 ACCESORIO AIZ 32 AB METAL;UN;0;0;0;2025-03-18 00:00:00;Sí
2400001003341;3165140492430;0;100334;BOSCH 2608661640 ACCESORIO AIZ 20 AB MADERA Y METAL;UN;1;0;1;2026-03-10 00:00:00;Sí
2400001003358;3165140546690;4059952530864;100335;BOSCH 2608900034 MORTERO ACZ 85 RD4 ABRASIVO DIAMANTE;UN;1;0;1;2019-03-12 00:00:00;Sí
2400001003365;3165140492454;0;100336;# BOSCH 2608661642 MORTERO ACZ 85 RT3 ABRASIVO CARBURO;UN;0;0;0;2024-10-03 00:00:00;Sí
2400001003372;3165140546737;0;100337;# BOSCH 2608661693 MULTI HERRAMIENTA ACZ 100 SWB SERRAD;UN;0;0;0;2019-11-06 00:00:00;Sí
2400001003389;8427514001552;8435119001552;100338;70701 FUELLE 44*16 CM;UN;1;0;1;2019-09-05 00:00:00;Sí
2400001003396;8427514024124;8435119024124;100339;70702 FUELLE 46*18 CM;UN;2;0;2;2025-12-05 00:00:00;No
2400001003402;8427514024131;8435119024131;100340;70703 FUELLE 49*20 CM;UN;2;0;2;2019-09-05 00:00:00;No
2400001003419;0;0;100341;FERROKEY XX.XXXX 70704 FUELLE 51*22 CM;UN;5;0;5;2016-11-02 00:00:00;No
2400001003426;883314344271;0;100342;9207681 HERMETICO CRISTAL 42CL REDONDO PURE BOX;UN;6;0;6;2023-12-07 00:00:00;Sí
2400001003433;883314344295;0;100343;9207682 HERMETICO CRISTAL 67CL REDONDO PURE BOX;UN;8;2;10;2023-12-07 00:00:00;Sí
2400001003440;883314344318;0;100344;9207683 HERMETICO CRISTAL 92CL REDONDO PURE BOX;UN;0;2;2;2023-01-30 00:00:00;Sí
2400001003457;883314344158;0;100345;9207675 HERMETICO CRISTAL 38CL CUADRADO PURE BOX;UN;4;5;9;2022-11-14 00:00:00;Sí
2400001003464;883314344172;0;100346;9207676 HERMETICO CRISTAL 76CL CUADRADO PURE BOX;UN;5;5;10;2022-10-03 00:00:00;Sí
2400001003471;883314344134;0;100347;9207674 HERMETICO CRISTAL 122 CL CUADRADO PURE BOX;UN;3;3;6;2025-05-16 00:00:00;Sí
2400001003488;883314344257;0;100348;9207680 HERMETICO CRISTAL 82CL RECTANGULAR PURE BOX;UN;1;4;5;2023-12-07 00:00:00;Sí
2400001003495;883314344196;0;100349;9207677 HERMETICO CRISTAL 122 CL RECTANGULAR PURE BOX;UN;13;4;17;2024-06-25 00:00:00;Sí
2400001003501;883314344219;0;100350;9207678 HERMETICO CRISTAL 197 CL RECTANGULAR PURE BOX;UN;3;7;10;2023-12-07 00:00:00;Sí
2400001003525;3253561515057;3253560513092;100352;STHT0-51309 MARTILLO FIBRA VIDRIO 450 GR (1-51-505);UN;2;0;2;2018-09-17 00:00:00;Sí
2400001003532;3253560435110;0;100353;0-43-511 NIVEL TORPEDO ALTO IMPACTO 230 MM;UN;3;0;3;2025-10-20 00:00:00;Sí
2400001003556;3253560101947;0;100355;STHT0-10194 CUCHILLO PLEGABLE HOJA CIRCULAR 175 MM;UN;4;0;4;2023-04-24 00:00:00;Sí
2400001003655;8413173457908;0;100365;AXIL PROLONGADOR 2,5 M B MP-579-E;UN;2;0;2;2016-11-21 00:00:00;Sí
2400001003709;8427514000456;8435119000456;100370;10112 JUEGO MORILLOS 25*41 CM;UN;1;0;1;2016-11-22 00:00:00;No
2400001003716;8435119007790;0;100371;10160 CHAPA CHIMENEA HIERRO NEGRO 100*40 CM;UN;1;0;1;2016-11-22 00:00:00;No
2400001003723;8427514022762;8435119022762;100372;10167 CHAPA CHIMENEA HIERRO FORJA 100*50 CM;UN;2;0;2;2016-11-22 00:00:00;No
2400001003730;8427514021918;8435119021918;100373;70245 TENAZA LUMBRE 45 CM;UN;2;0;2;2016-11-22 00:00:00;No
2400001003747;8427514001415;8435119001415;100374;70504 ATIZADOR LUMBRE 45 CM;UN;1;1;2;2016-11-22 00:00:00;No
2400001003754;8421504962526;0;100375;ALYCO REF.196252 NIVEL TORPEDO TUBULAR MAGNETICO 235 MM;UN;4;2;6;2022-02-14 00:00:00;Sí
2400001003785;8421504190240;0;100378;# ALYCO 119024 DESTORNILLADOR BOCA RECTA 4*0,8*100 MM;UN;3;0;3;2025-03-15 00:00:00;Sí
2400001003792;8421504190257;0;100379;# ALYCO 119025 DESTORNILLADOR BOCA RECTA 5*0,8*150 MM;UN;2;0;2;2025-03-15 00:00:00;Sí
2400001003808;8421504190301;0;100380;# ALYCO 119030 DESTORNILLADOR BOCA PHILLIPS PH0*75 MM;UN;1;0;1;2025-03-15 00:00:00;Sí
2400001003839;8421504190424;0;100383;# ALYCO 119042 DESTORNILLADOR BOCA POZIDRIVE PZ2*150 MM;UN;2;0;2;2025-03-15 00:00:00;Sí
